instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,portfolio_score,mci_reject_reason,decision_reason,decision
ETH-22MAY26-2150-P,put,2026-05-22,2150.0,8.049874001041667,2267.11,2267.11,-0.0516560731503985,0.0516560731503985,20.857412,19.270435000000003,21.537545,22.671100000000003,20.857412,48.37,0.4836999999999999,-0.21737,0.0018,0.99052,-2.97599,2243.0,332.0,0.111111111111111,38.13187824472732,38.13187824472732,-0.4530190234496498,-0.164003117084844,cheap,0.6170221405344938,0.647703117084844,0.6508611680616767,1.0,0.55,0.22906984505292682,0.6825396825396828,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2800-C,call,2026-06-26,2800.0,43.049874001041665,2267.11,2267.11,0.2350525558971552,0.2350525558971552,27.658742000000004,27.20532,28.338875,26.071765000000003,27.658742000000004,52.53,0.5253,0.14292,0.00055,1.76148,-1.0746,18008.0,752.0,0.0408163265306122,53.13888859893609,53.13888859893609,-0.4795009318174982,-0.1224031170848439,cheap,0.6019040489023422,0.647703117084844,0.760821257640323,1.0,0.55,0.22906984505292682,0.8833819241982508,1.0,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2275-P,put,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.0034802016664388,0.0034802016664388,37.634026000000006,36.27376,38.540870000000005,44.208645,37.634026000000006,40.69,0.4069,-0.52981,0.00472,0.82446,-5.49972,70.0,72.0,0.0606060606060606,57.26583734109295,57.26583734109295,-0.3428188995851022,-0.2408031170848439,cheap,0.5836220166699462,0.647703117084844,0.6204071352977886,0.858270449031028,0.55,0.22906984505292682,0.8268398268398268,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2400-C,call,2026-05-29,2400.0,15.049874001041667,2267.11,2267.11,0.0586164764832759,0.0586164764832759,40.127847,38.540870000000005,40.80798,38.540870000000005,40.127847,48.23,0.4822999999999999,0.29977,0.00156,1.60127,-2.56559,21709.0,5228.0,0.057142857142857,68.41700597704983,68.41700597704983,-0.4134813935959035,-0.165403117084844,cheap,0.5788845106807475,0.647703117084844,0.6973237530956904,1.0,0.55,0.22906984505292682,0.8367346938775514,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2200-P,put,2026-05-22,2200.0,8.049874001041667,2267.11,2267.11,-0.0296015632236636,0.0296015632236636,33.779939,32.873095000000006,35.140205,36.27376,33.779939,46.85,0.4685,-0.31771,0.00226,1.20101,-3.49459,4906.0,1009.0,0.0666666666666665,55.50075914870661,55.50075914870661,-0.3913607756338733,-0.1792031170848439,cheap,0.5705638927187173,0.647703117084844,0.6661188649430149,0.9848403113348764,0.55,0.22906984505292682,0.80952380952381,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2700-C,call,2026-06-26,2700.0,43.049874001041665,2267.11,2267.11,0.1909435360436855,0.1909435360436855,39.221003,38.540870000000005,40.80798,40.80798,39.221003,52.01,0.5201,0.19047,0.00067,2.12094,-1.28116,7506.0,21.0,0.057142857142857,69.99335200193855,69.99335200193855,-0.4396467396087312,-0.1276031170848439,cheap,0.5672498566935752,0.647703117084844,0.7538241730922182,1.0,0.55,0.22906984505292682,0.8367346938775514,1.0,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2250-C,call,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,43.07509,41.941535,45.342200000000005,35.140205,43.07509,40.94,0.4094,0.5875,0.00459,0.8068,-5.4152,407.0,487.0,0.077922077922078,62.73651805447298,62.73651805447298,-0.3133968646044607,-0.2383031170848439,cheap,0.5516999816893047,0.647703117084844,0.5833122370895999,0.739575457311446,0.55,0.22906984505292682,0.7773654916512057,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2300-C,call,2026-05-22,2300.0,8.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,47.60931000000001,46.47575500000001,48.742865,37.407315,47.60931000000001,45.91,0.4590999999999999,0.43266,0.00254,1.32468,-3.77729,1773.0,1373.0,0.0476190476190475,72.98786198068933,72.98786198068933,-0.3477092120797266,-0.188603117084844,cheap,0.5363123291645706,0.647703117084844,0.6526262515199849,0.8982167964182668,0.55,0.22906984505292682,0.8639455782312928,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2600-C,call,2026-06-26,2600.0,43.049874001041665,2267.11,2267.11,0.1468345161902156,0.1468345161902156,55.770906,54.41064,56.67775,56.67775,55.770906,51.76,0.5176,0.25178,0.00079,2.48923,-1.49652,15958.0,21.0,0.0408163265306122,91.35857141029317,91.35857141029317,-0.3895383307874665,-0.130103117084844,cheap,0.5196414478723106,0.647703117084844,0.760821257640323,1.0,0.55,0.22906984505292682,0.8833819241982508,1.0,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,15.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,55.31748400000001,54.41064,56.67775,55.544195,55.31748400000001,48.22,0.4821999999999999,0.37819,0.00171,1.75155,-2.80612,9367.0,360.0,0.0408163265306122,85.50484490129702,85.50484490129702,-0.3530485428766516,-0.165503117084844,cheap,0.5185516599614957,0.647703117084844,0.6860902050046689,0.9270774694434947,0.55,0.22906984505292682,0.8833819241982508,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2050-P,put,2026-05-29,2050.0,15.049874001041667,2267.11,2267.11,-0.0957650930038683,0.0957650930038683,21.310834000000003,20.40399,21.537545,26.071765000000003,21.310834000000003,52.75,0.5275,-0.15857,0.001,1.1144,-1.95312,4993.0,89.0,0.0540540540540541,35.35457663050215,35.35457663050215,-0.3972255919587483,-0.1202031170848439,cheap,0.5174287090435923,0.647703117084844,0.6986475258480345,1.0,0.55,0.22906984505292682,0.8455598455598454,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
