instrument_name,option_type,expiry,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_pct,volatility_spread,classification,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,bid_ask_spread_pct,delta,gamma,vega,theta,decision_reason
ETH-22MAY26-2350-P,put,22MAY26,2350.0,11.656572908993056,82.726815,106.64598980905362,-0.2242857406254109,-0.1506014023408799,cheap,0.5744838151050894,0.7148657635185661,0.0,0.4244536002753707,0.9219858156028372,0.7257878182994815,0.0425531914893615,-0.48879,0.00195,1.67252,-3.49124,accepted_dynamic_mci
ETH-22MAY26-2250-P,put,22MAY26,2250.0,11.656589155578704,41.07005,61.92458963617321,-0.3367731584286679,-0.1447014023408799,cheap,0.5703899466797345,0.7437958575469175,0.0,0.4244536002753707,0.8456272619047625,0.7270617295221667,0.0571428571428569,-0.30055,0.00168,1.45946,-3.08363,accepted_dynamic_mci
ETH-29MAY26-2350-P,put,29MAY26,2350.0,18.656492202939813,108.00432,133.41025147336586,-0.1904346269704612,-0.1332014023408799,cheap,0.5656283632526192,0.6333563847080188,0.0,0.4244536002753707,0.960144927536232,0.7837680789010556,0.0217391304347826,-0.48038,0.00149,2.11511,-2.85735,accepted_dynamic_mci
ETH-14MAY26-2350-P,put,14MAY26,2350.0,3.656760958842592,44.57571,61.227327981215694,-0.2719638195925248,-0.1896014023408799,cheap,0.5621897028260662,0.829879015441654,0.0,0.4244536002753707,0.6956736859383382,0.6547817601982778,0.0526315789473685,-0.50589,0.00379,0.93674,-5.73366,accepted_dynamic_mci
ETH-15MAY26-2300-P,put,15MAY26,2300.0,4.656672343935186,29.3285,45.623876773967595,-0.3571677359795415,-0.1704014023408799,cheap,0.5530550979030386,0.7633891908802506,0.0,0.4244536002753707,0.7384916666666668,0.6654333012790186,0.08,-0.34307,0.00297,0.9744,-4.88494,accepted_dynamic_mci
ETH-29MAY26-2400-P,put,29MAY26,2400.0,18.65648423069445,135.59238000000002,161.08160670761913,-0.1582379716008474,-0.1341014023408799,cheap,0.5459340691576308,0.5592030314324178,0.0,0.4244536002753707,0.9523809523809524,0.7838544838730926,0.025974025974026,-0.55407,0.00148,2.09819,-2.82968,accepted_dynamic_mci
ETH-22MAY26-2250-C,call,22MAY26,2250.0,11.656593239675926,140.22488500000003,161.6569996624869,-0.1325777090211595,-0.1447014023408799,cheap,0.5455349598342384,0.3666383655106229,0.55,0.4244536002753707,0.6451898145467607,0.6220617621949445,0.1589958158995816,0.69945,0.00168,1.45946,-3.08363,accepted_dynamic_mci
ETH-14MAY26-2325-P,put,14MAY26,2325.0,3.6567696990277776,32.84456,49.07210620805165,-0.330687787054656,-0.1866014023408799,cheap,0.5448655500723458,0.8025491908802506,0.0,0.4244536002753707,0.6255182869015541,0.6550978926197593,0.0714285714285715,-0.41206,0.00368,0.91397,-5.63252,accepted_dynamic_mci
ETH-29MAY26-2150-P,put,29MAY26,2150.0,18.65652542381944,36.392915,52.25488369103243,-0.303549976014099,-0.1081014023408799,cheap,0.5412240082903332,0.6693137070092828,0.0,0.4244536002753707,0.8061255134408605,0.6808603446680925,0.064516129032258,-0.21303,0.00103,1.54274,-2.18791,accepted_dynamic_mci
ETH-22MAY26-2200-P,put,22MAY26,2200.0,11.656597280694443,28.16232,45.11967142840956,-0.3758305610739084,-0.1343014023408799,cheap,0.5297332635468904,0.6945203019913615,0.0,0.4244536002753707,0.7259017777777776,0.6232720132730926,0.0833333333333334,-0.22248,0.00141,1.2498,-2.69636,accepted_dynamic_mci
