instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2300-P,-0.1,0.2,0,266.1011181778995,170.72702100268404,113.2446159657864
ETH-29MAY26-2300-P,-0.1,0.2,1,263.30366187712,168.932209376609,111.44980433971135
ETH-29MAY26-2300-P,-0.1,0.2,3,257.5831770973084,165.26202064596447,107.77961560906682
ETH-29MAY26-2300-P,-0.1,0.2,7,245.71123585089845,157.6451373483775,100.16273231147984
ETH-29MAY26-2300-P,-0.05,-0.1,0,137.6766596297939,88.33155651935694,30.84915148245929
ETH-29MAY26-2300-P,-0.05,-0.1,1,136.0069388225429,87.26028533763427,29.777880300736626
ETH-29MAY26-2300-P,-0.05,-0.1,3,132.56268762098716,85.05049850451992,27.568093467622276
ETH-29MAY26-2300-P,-0.05,-0.1,7,125.23639430169692,80.35004387299117,22.86763883609352
ETH-29MAY26-2300-P,-0.05,0.0,0,153.8896361053944,98.73359163375038,41.25118659685273
ETH-29MAY26-2300-P,-0.05,0.0,1,151.5481185820165,97.23130440501113,39.748899368113484
ETH-29MAY26-2300-P,-0.05,0.0,3,146.6768535768672,94.10596405116951,36.62355901427186
ETH-29MAY26-2300-P,-0.05,0.0,7,136.04954483423626,87.28762080132198,29.805215764424332
ETH-29MAY26-2300-P,-0.05,0.1,0,170.92523683772674,109.663411786095,52.18100674919735
ETH-29MAY26-2300-P,-0.05,0.1,1,167.93647899325674,107.74586357442745,50.2634585375298
ETH-29MAY26-2300-P,-0.05,0.1,3,161.69190532957896,103.73942622334957,46.25702118645192
ETH-29MAY26-2300-P,-0.05,0.1,7,147.89248363940783,94.88589650932671,37.40349147242907
ETH-29MAY26-2300-P,-0.05,0.2,0,188.4326471221218,120.89593881865058,63.41353378175293
ETH-29MAY26-2300-P,-0.05,0.2,1,184.81291431504792,118.57356526678801,61.09116022989036
ETH-29MAY26-2300-P,-0.05,0.2,3,177.2311470880004,113.7092018944243,56.22679685752665
ETH-29MAY26-2300-P,-0.05,0.2,7,160.3514964486344,102.87943729607188,45.39703225917424
ETH-29MAY26-2300-P,0.0,-0.1,0,69.33372306333649,44.48361613315325,-12.998788903744398
ETH-29MAY26-2300-P,0.0,-0.1,1,67.15773674920047,43.08753157815829,-14.394873458739355
ETH-29MAY26-2300-P,0.0,-0.1,3,62.563020071712344,40.13962103922374,-17.342783997673905
ETH-29MAY26-2300-P,0.0,-0.1,7,52.095522468747504,33.42381054077937,-24.058594496118275
ETH-29MAY26-2300-P,0.0,0.0,0,88.55093738503956,56.81313122719004,-0.6692738097076045
ETH-29MAY26-2300-P,0.0,0.0,1,85.76965155068638,55.0286943623339,-2.4537106745637445
ETH-29MAY26-2300-P,0.0,0.0,3,79.90002165259966,51.26281606106843,-6.219588975829218
ETH-29MAY26-2300-P,0.0,0.0,7,66.54421206341203,42.69390210890427,-14.788502927993378
ETH-29MAY26-2300-P,0.0,0.1,0,107.76214395449256,69.13879182541862,11.656386788520976
ETH-29MAY26-2300-P,0.0,0.1,1,104.37633163217492,66.96649861815364,9.48409358125599
ETH-29MAY26-2300-P,0.0,0.1,3,97.23325671762609,62.3835945352605,4.901189498362854
ETH-29MAY26-2300-P,0.0,0.1,7,80.99174202756058,51.963249673152696,-5.51915536374495
ETH-29MAY26-2300-P,0.0,0.2,0,126.96341249904094,81.45807631595464,23.975671279056996
ETH-29MAY26-2300-P,0.0,0.2,1,122.97410896057295,78.89859098322945,21.416185946331808
ETH-29MAY26-2300-P,0.0,0.2,3,114.55955685523782,73.49992365010193,16.017518613204288
ETH-29MAY26-2300-P,0.0,0.2,7,95.43582893722964,61.230388218369356,3.74798318147171
ETH-29MAY26-2300-P,0.05,-0.1,0,28.918778782529103,18.55391283728499,-38.928492199612656
ETH-29MAY26-2300-P,0.05,-0.1,1,27.09147996922252,17.381541653677232,-40.100863383220414
ETH-29MAY26-2300-P,0.05,-0.1,3,23.319890061424644,14.961738558480775,-42.52066647841687
ETH-29MAY26-2300-P,0.05,-0.1,7,15.280658060120231,9.80387172902023,-47.678533307877416
ETH-29MAY26-2300-P,0.05,0.0,0,45.56467568488745,29.233704074229426,-28.24870096266822
ETH-29MAY26-2300-P,0.05,0.0,1,43.04593549760273,27.61771308629461,-29.864691950603035
