instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct
ETH-17MAY26-2000-P,put,2026-05-17,2000.0,3.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,0.9068440000000001,0.680133,1.133555,1.133555,0.9068440000000001,66.33,0.6633,-0.01801,0.00032,0.09177,-0.90634,1965.0,1965.0,0.5000000000000001
ETH-17MAY26-2550-C,call,2026-05-17,2550.0,3.049874001041667,2267.11,2267.11,0.12478000626348074,0.12478000626348074,0.45342200000000005,0.22671100000000002,0.9068440000000001,,0.45342200000000005,57.45,0.5745,0.01341,0.00029,0.07124,-0.55587,0.0,0.0,1.2000000000000002
ETH-17MAY26-2550-P,put,2026-05-17,2550.0,3.049874001041667,2267.11,2267.11,0.12478000626348074,0.12478000626348074,283.162039,184.76946500000003,392.21003,,283.162039,57.45,0.5745,-0.98659,0.00029,0.07124,-0.6709,0.0,0.0,0.7190569744597248
ETH-17MAY26-2600-C,call,2026-05-17,2600.0,3.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,0.45342200000000005,,0.680133,0.680133,0.45342200000000005,63.32,0.6332,0.00966,0.0002,0.05361,-0.42527,132.0,132.0,
ETH-17MAY26-2600-P,put,2026-05-17,2600.0,3.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,333.03845900000005,231.24522,444.35356,,333.03845900000005,63.32,0.6332,-0.99034,0.0002,0.05361,-0.55649,0.0,0.0,0.6308724832214766
ETH-17MAY26-1900-C,call,2026-05-17,1900.0,3.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,367.951953,363.87115500000004,376.34026000000006,,367.951953,82.96,0.8295999999999999,0.99102,0.00014,0.05026,-0.68351,0.0,0.0,0.03369065849923433
ETH-17MAY26-1900-P,put,2026-05-17,1900.0,3.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,0.45342200000000005,0.45342200000000005,0.680133,0.680133,0.45342200000000005,82.96,0.8295999999999999,-0.00898,0.00014,0.05026,-0.52492,80.0,80.0,0.39999999999999986
ETH-22MAY26-2250-C,call,2026-05-22,2250.0,8.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,71.187254,69.146855,72.54752,72.54752,71.187254,46.1,0.461,0.56057,0.00254,1.32835,-3.80336,239.0,389.0,0.04800000000000005
ETH-22MAY26-2250-P,put,2026-05-22,2250.0,8.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,53.050374000000005,52.143530000000005,53.277085,55.544195,53.050374000000005,46.1,0.461,-0.43943,0.00254,1.32835,-3.80336,3357.0,383.0,0.02150537634408591
ETH-22MAY26-2300-C,call,2026-05-22,2300.0,8.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,47.60931000000001,46.47575500000001,48.742865,37.407315000000004,47.60931000000001,45.91,0.45909999999999995,0.43266,0.00254,1.32468,-3.77729,1773.0,1373.0,0.04761904761904751
ETH-22MAY26-2300-P,put,2026-05-22,2300.0,8.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,79.122139,77.08174000000001,80.482405,83.88307,79.122139,45.91,0.45909999999999995,-0.56734,0.00254,1.32468,-3.77729,3721.0,43.0,0.043165467625899144
ETH-22MAY26-2200-C,call,2026-05-22,2200.0,8.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,102.01995000000001,99.75284,105.42061500000001,115.62261,102.01995000000001,46.85,0.4685,0.68229,0.00226,1.20101,-3.49459,217.0,0.0,0.05524861878453044
ETH-22MAY26-2200-P,put,2026-05-22,2200.0,8.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,33.779939,32.873095000000006,35.140205,36.27376,33.779939,46.85,0.4685,-0.31771,0.00226,1.20101,-3.49459,4906.0,1009.0,0.06666666666666651
ETH-22MAY26-2350-C,call,2026-05-22,2350.0,8.049874001041667,2267.11,2267.11,0.03656196655654109,0.03656196655654109,30.379274000000002,29.47243,31.73954,30.605985,30.379274000000002,46.12,0.4612,0.31473,0.00229,1.19622,-3.42686,2806.0,258.0,0.07407407407407415
ETH-22MAY26-2350-P,put,2026-05-22,2350.0,8.049874001041667,2267.11,2267.11,0.03656196655654109,0.03656196655654109,112.221945,107.687725,114.48905500000001,99.75284,112.221945,46.12,0.4612,-0.68527,0.00229,1.19622,-3.42686,1040.0,0.0,0.06122448979591843
ETH-22MAY26-2150-C,call,2026-05-22,2150.0,8.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,139.200554,136.0266,147.36215,162.098365,139.200554,48.37,0.48369999999999996,0.78272,0.0018,0.99031,-2.97539,150.0,0.0,0.08000000000000008
ETH-22MAY26-2150-P,put,2026-05-22,2150.0,8.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,20.857412,19.270435000000003,21.537545,22.671100000000003,20.857412,48.37,0.48369999999999996,-0.21737,0.0018,0.99052,-2.97599,2243.0,332.0,0.11111111111111105
ETH-22MAY26-2400-C,call,2026-05-22,2400.0,8.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,19.043724,18.13688,20.40399,19.270435000000003,19.043724,46.8,0.46799999999999997,0.21835,0.00187,0.99309,-2.88658,4807.0,5585.0,0.11764705882352935
ETH-22MAY26-2400-P,put,2026-05-22,2400.0,8.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,150.76281500000002,142.82793,153.02992500000002,162.098365,150.76281500000002,46.8,0.46799999999999997,-0.78165,0.00187,0.99309,-2.88658,385.0,2.0,0.06896551724137938
ETH-22MAY26-2100-C,call,2026-05-22,2100.0,8.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,181.142089,177.96813500000002,190.43724000000003,,181.142089,50.48,0.5047999999999999,0.85668,0.00133,0.76175,-2.38818,0.0,0.0,0.06769230769230776
ETH-22MAY26-2100-P,put,2026-05-22,2100.0,8.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,12.922527,11.335550000000001,13.60266,17.003325,12.922527,50.48,0.5047999999999999,-0.14332,0.00133,0.76175,-2.38818,3608.0,1211.0,0.1818181818181817
ETH-22MAY26-2450-C,call,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,12.015683000000001,11.335550000000001,12.469105,11.335550000000001,12.015683000000001,47.98,0.47979999999999995,0.14773,0.00143,0.77744,-2.31692,2277.0,103.0,0.09523809523809518
ETH-22MAY26-2450-P,put,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,193.611194,181.36880000000002,286.789415,145.09504,193.611194,47.98,0.47979999999999995,-0.85227,0.00143,0.77744,-2.31692,95.0,0.0,0.4503631961259079
ETH-22MAY26-2500-C,call,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,7.481463000000001,7.254752000000001,8.161596,8.615018000000001,7.481463000000001,49.4,0.494,0.0986,0.00104,0.58511,-1.7952,9904.0,1949.0,0.11764705882352924
ETH-22MAY26-2500-P,put,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,239.180105,225.577445,349.13494000000003,265.25187000000005,239.180105,49.4,0.494,-0.9014,0.00104,0.58511,-1.7952,18.0,0.0,0.4299802761341223
ETH-22MAY26-2000-C,call,2026-05-22,2000.0,8.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,273.413466,270.919645,283.38875,330.99806,273.413466,56.7,0.5670000000000001,0.93781,0.00064,0.41265,-1.4533,5.0,0.0,0.04498977505112479
ETH-22MAY26-2000-P,put,2026-05-22,2000.0,8.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,5.214353,4.760931,5.667775000000001,6.121197,5.214353,56.7,0.5670000000000001,-0.06219,0.00064,0.41265,-1.4533,2033.0,21.0,0.17391304347826092
ETH-22MAY26-2600-C,call,2026-05-22,2600.0,8.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,3.400665,3.173954,3.854087,2.947243,3.400665,53.42,0.5342,0.04636,0.00054,0.32705,-1.08508,6661.0,483.0,0.1935483870967741
ETH-22MAY26-2600-P,put,2026-05-22,2600.0,8.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,334.852147,320.796065,368.40537500000005,249.3821,334.852147,53.42,0.5342,-0.95361,0.00054,0.32719,-1.08555,1.0,0.0,0.13815789473684223
ETH-22MAY26-2700-C,call,2026-05-22,2700.0,8.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,1.8136880000000002,1.586977,2.040399,2.26711,1.8136880000000002,58.39,0.5839,0.02465,0.00029,0.19456,-0.70561,2563.0,122.0,0.2499999999999999
ETH-22MAY26-2700-P,put,2026-05-22,2700.0,8.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,433.244721,418.28179500000005,464.75755,337.79939,433.244721,58.39,0.5839,-0.97535,0.00029,0.19456,-0.70561,1.0,0.0,0.1052631578947367
ETH-22MAY26-1800-C,call,2026-05-22,1800.0,8.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,469.51848100000007,467.02466,478.36021,486.295095,469.51848100000007,75.39,0.7539,0.98306,0.00017,0.14162,-0.66311,1.0,0.0,0.023980815347721847
ETH-22MAY26-1800-P,put,2026-05-22,1800.0,8.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,1.586977,1.360266,1.8136880000000002,1.133555,1.586977,75.39,0.7539,-0.01694,0.00017,0.14162,-0.66311,5997.0,53.0,0.2857142857142858
