instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,raw_reject_reason,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used
ETH-29MAY26-2500-P,put,2026-05-29,2500.0,15.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,251.195788,242.58077,257.31698500000005,209.70767500000002,251.195788,48.64,0.4864,-0.82459,0.00115,1.18935,-1.92209,762.0,0.0,0.05895691609977341,classification_neutral,271.1217860759664,271.1217860759664,-0.07349464004483679,-0.16130311708484396,neutral,0.23479775712968076,0.647703117084844
ETH-29MAY26-2000-C,call,2026-05-29,2000.0,15.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,283.615461,281.12164,291.323635,275.453865,283.615461,54.53,0.5453,0.88381,0.00078,0.90082,-1.63201,6807.0,50.0,0.03564356435643568,classification_neutral,295.2498528610597,295.2498528610597,-0.03940524185979764,-0.10240311708484395,neutral,0.1418083589446416,0.647703117084844
ETH-29MAY26-2550-P,put,2026-05-29,2550.0,15.049874001041667,2267.11,2267.11,0.12478000626348074,0.12478000626348074,295.40443300000004,283.38875,365.00471000000005,257.31698500000005,295.40443300000004,49.39,0.4939,-0.86754,0.00094,0.98732,-1.62003,144.0,0.0,0.25174825174825183,classification_neutral,311.4670616747683,311.4670616747683,-0.05157087426323339,-0.15380311708484395,neutral,0.20537399134807735,0.647703117084844
ETH-29MAY26-1950-C,call,2026-05-29,1950.0,15.049874001041667,2267.11,2267.11,-0.1398741128573382,0.1398741128573382,329.184372,326.46384,336.665835,435.28512,329.184372,56.71,0.5671,0.91505,0.0006,0.71657,-1.35008,304.0,0.0,0.030769230769230802,classification_neutral,337.1779015307495,337.1779015307495,-0.02370715724387573,-0.08060311708484391,neutral,0.10431027432871964,0.647703117084844
ETH-29MAY26-1950-P,put,2026-05-29,1950.0,15.049874001041667,2267.11,2267.11,-0.1398741128573382,0.1398741128573382,10.655417000000002,10.201995,11.108839,11.108839,10.655417000000002,56.71,0.5671,-0.08495,0.0006,0.71657,-1.35008,5703.0,172.0,0.08510638297872336,classification_neutral,16.854414805288542,16.854414805288542,-0.3677966797959329,-0.08060311708484391,neutral,0.4483997968807768,0.647703117084844
ETH-29MAY26-2600-P,put,2026-05-29,2600.0,15.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,341.200055,327.597395,365.00471000000005,325.330285,341.200055,50.1,0.501,-0.90123,0.00075,0.80122,-1.33349,78.0,0.0,0.10801963993453366,classification_neutral,353.7089881704469,353.7089881704469,-0.03536504185304734,-0.14670311708484396,neutral,0.1820681589378913,0.647703117084844
ETH-29MAY26-1900-C,call,2026-05-29,1900.0,15.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,376.113549,374.07315000000006,386.54225500000007,378.60737000000006,376.113549,59.16,0.5916,0.93785,0.00045,0.56415,-1.10877,186.0,0.0,0.03278688524590167,classification_neutral,381.2423498235896,381.2423498235896,-0.013452862269794705,-0.056103117084843945,neutral,0.06955597935463866,0.647703117084844
ETH-29MAY26-1900-P,put,2026-05-29,1900.0,15.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,7.708174,7.254752000000001,7.934885,8.388307000000001,7.708174,59.16,0.5916,-0.06218,0.00045,0.56433,-1.10911,8737.0,42.0,0.0895522388059701,classification_neutral,11.001260193653309,11.001260193653309,-0.29933717916726577,-0.056103117084843945,neutral,0.3554402962521097,0.647703117084844
ETH-29MAY26-2650-P,put,2026-05-29,2650.0,15.049874001041667,2267.11,2267.11,0.16888902611695067,0.16888902611695067,388.355943,374.07315000000006,434.151565,302.65918500000004,388.355943,51.0,0.51,-0.92618,0.0006,0.6443,-1.09178,11.0,0.0,0.1486676016830293,classification_neutral,397.5517610643053,397.5517610643053,-0.02313112144110923,-0.13770311708484395,neutral,0.1608342385259532,0.647703117084844
ETH-29MAY26-1850-C,call,2026-05-29,1850.0,15.049874001041667,2267.11,2267.11,-0.18398313271080813,0.18398313271080813,424.176281,420.54890500000005,433.01801,523.7024100000001,424.176281,61.94,0.6194,0.95406,0.00034,0.44401,-0.91364,50.0,0.0,0.02921646746347931,classification_neutral,427.04197433533227,427.04197433533227,-0.0067105659573454095,-0.02830311708484401,neutral,0.03501368304218942,0.647703117084844
ETH-29MAY26-1850-P,put,2026-05-29,1850.0,15.049874001041667,2267.11,2267.11,-0.18398313271080813,0.18398313271080813,5.667775000000001,5.214353,5.894486,5.214353,5.667775000000001,61.94,0.6194,-0.04596,0.00034,0.44416,-0.91394,3115.0,10.0,0.12244897959183668,classification_neutral,6.883281800920358,6.883281800920358,-0.176588266480363,-0.02830311708484401,neutral,0.204891383565207,0.647703117084844
ETH-29MAY26-2700-P,put,2026-05-29,2700.0,15.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,436.418675,421.68246000000005,447.754225,350.26849500000003,436.418675,52.15,0.5215,-0.94412,0.00047,0.51894,-0.89908,41.0,0.0,0.059973924380703966,classification_neutral,442.7217079712668,442.7217079712668,-0.014237009068631193,-0.126203117084844,neutral,0.14044012615347518,0.647703117084844
ETH-29MAY26-1800-C,call,2026-05-29,1800.0,15.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,472.692435,470.425325,480.62732,569.04461,472.692435,65.21,0.6520999999999999,0.96517,0.00026,0.35455,-0.76812,71.0,0.0,0.021454112038140665,classification_neutral,474.1879423830376,474.1879423830376,-0.0031538283650189404,0.004396882915155942,neutral,0.007550711280174882,0.647703117084844
ETH-29MAY26-1800-P,put,2026-05-29,1800.0,15.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,4.3075090000000005,3.854087,4.760931,4.53422,4.3075090000000005,65.21,0.6520999999999999,-0.03483,0.00026,0.35455,-0.76812,15232.0,58.0,0.2105263157894738,market_price_below_minimum,,,,,,,
ETH-29MAY26-1750-C,call,2026-05-29,1750.0,15.049874001041667,2267.11,2267.11,-0.22809215256427795,0.22809215256427795,521.662011,518.0346350000001,530.5037400000001,620.0545850000001,521.662011,68.34,0.6834,0.97383,0.00019,0.27973,-0.63506,96.0,0.0,0.023783783783783808,classification_neutral,522.3283385178809,522.3283385178809,-0.0012756870894111915,0.03569688291515605,neutral,0.03697257000456724,0.647703117084844
ETH-29MAY26-1750-P,put,2026-05-29,1750.0,15.049874001041667,2267.11,2267.11,-0.22809215256427795,0.22809215256427795,3.173954,2.947243,3.6273760000000004,3.6273760000000004,3.173954,68.34,0.6834,-0.02617,0.00019,0.27973,-0.63506,4401.0,0.0,0.2068965517241381,market_price_below_minimum,,,,,,,
